type,entry_time,entry,tp,sl,sl_pts,tp_pts,zone_top,zone_bottom,zone_width,gap_pts_at_lon,wave_ext_pts,core_filter,outcome,exit_px,exit_time
ATTR_SHORT,2023-09-27 12:30:00+00:00,106.379,106.167,106.591,2120,2120,106.216,106.167,490,190.0,1440.0,True,loss,106.591,2023-09-27 13:45:00+00:00
ATTR_SHORT,2023-10-23 10:30:00+00:00,106.184,106.155,106.213,290,290,106.183,106.155,280,640.0,0.0,True,win,106.155,2023-10-23 11:00:00+00:00
ATTR_LONG,2024-04-17 12:00:00+00:00,106.2,106.374,106.026,1740,1740,106.374,106.328,460,1080.0,200.0,True,loss,106.026,2024-04-17 17:30:00+00:00
ATTR_SHORT,2024-05-07 08:45:00+00:00,105.222,105.087,105.357,1350,1350,105.144,105.087,570,290.0,490.0,True,win,105.087,2024-05-07 13:00:00+00:00
ATTR_SHORT,2024-05-08 10:15:00+00:00,105.492,105.38,105.604,1120,1120,105.433,105.38,530,1290.0,0.0,True,loss,105.604,2024-05-08 12:00:00+00:00
ATTR_LONG,2024-05-21 12:00:00+00:00,104.566,104.624,104.508,580,580,104.624,104.596,280,660.0,0.0,True,win,104.624,2024-05-21 12:30:00+00:00
ATTR_SHORT,2024-07-23 08:15:00+00:00,104.313,104.281,104.345,320,320,104.308,104.281,270,450.0,0.0,True,win,104.281,2024-07-23 08:30:00+00:00
ATTR_SHORT,2024-08-20 07:30:00+00:00,101.894,101.85,101.938,440,440,101.878,101.85,280,160.0,0.0,True,win,101.85,2024-08-20 07:45:00+00:00
ATTR_LONG,2024-09-13 10:45:00+00:00,101.025,101.235,100.815,2100,2100,101.235,101.199,360,1430.0,310.0,True,loss,100.815,2024-09-16 03:45:00+00:00
ATTR_SHORT,2024-10-16 11:30:00+00:00,103.276,103.226,103.326,500,500,103.248,103.226,220,1110.0,0.0,True,win,103.226,2024-10-16 11:45:00+00:00
ATTR_SHORT,2024-10-25 10:00:00+00:00,104.035,104.019,104.051,160,160,104.047,104.019,280,110.0,0.0,True,loss,104.051,2024-10-25 10:15:00+00:00
ATTR_SHORT,2025-01-27 08:00:00+00:00,107.638,107.602,107.674,360,360,107.647,107.602,450,1230.0,0.0,True,win,107.602,2025-01-27 08:15:00+00:00
ATTR_LONG,2025-02-17 07:15:00+00:00,106.75,106.818,106.682,680,680,106.818,106.792,260,660.0,0.0,True,win,106.818,2025-02-17 07:45:00+00:00
ATTR_SHORT,2025-03-25 08:30:00+00:00,104.379,104.31,104.448,690,690,104.327,104.31,170,890.0,0.0,True,win,104.31,2025-03-25 09:15:00+00:00
ATTR_SHORT,2025-04-25 07:30:00+00:00,99.552,99.286,99.818,2660,2660,99.414,99.286,1280,1380.0,0.0,True,loss,99.818,2025-04-28 06:45:00+00:00
ATTR_SHORT,2025-06-19 08:45:00+00:00,98.899,98.85,98.948,490,490,98.879,98.85,290,970.0,0.0,True,loss,98.948,2025-06-19 09:30:00+00:00
ATTR_LONG,2025-07-04 07:45:00+00:00,96.998,97.127,96.869,1290,1290,97.127,97.012,1150,250.0,0.0,True,win,97.127,2025-07-07 04:30:00+00:00
ATTR_LONG,2025-10-17 08:00:00+00:00,98.225,98.339,98.111,1140,1140,98.339,98.256,830,540.0,0.0,True,win,98.339,2025-10-17 11:00:00+00:00
ATTR_SHORT,2025-10-21 10:45:00+00:00,98.876,98.592,99.16,2840,2840,98.614,98.592,220,1360.0,1260.0,True,timeout,98.707,2025-10-28 00:45:00+00:00
ATTR_LONG,2025-10-28 08:45:00+00:00,98.733,98.801,98.665,680,680,98.801,98.746,550,860.0,0.0,True,loss,98.665,2025-10-28 10:15:00+00:00
ATTR_SHORT,2026-03-17 08:15:00+00:00,99.845,99.822,99.868,230,230,99.863,99.822,410,190.0,0.0,True,loss,99.868,2026-03-17 08:30:00+00:00
ATTR_SHORT,2026-03-20 07:30:00+00:00,99.329,99.162,99.496,1670,1670,99.29,99.162,1280,390.0,0.0,True,loss,99.496,2026-03-20 09:45:00+00:00
