date,direction,gap_pts_at_lon,zone_width_pts,wave_bars,wave_extension_pts,wave_total_pts,pts_per_bar,slope_pts_bar,r2,avg_body_pts,avg_range_pts,body_ratio,pct_directional,rsi_at_peak,bb_pctb_at_peak,bb_width_pts_peak,bb_expanding,bb_width_chg_pct,macd_hist_peak,ema20_dist_pts,atr_mult,rsi_divergence,macd_divergence,reached_far_edge,max_progress_pct,pullback_pts
2023-09-04,LONG,1200.0,100.0,20,840.0,2040.0,44.2,-30.56,0.301,198.5,388.0,0.512,55.0,34.9,0.087,1317.8,True,8.8,-45.76,-544.6,1.7,False,True,False,63.8,960.0
2023-09-05,SHORT,2810.0,240.0,32,4800.0,7610.0,154.8,94.52,0.677,505.0,807.5,0.625,68.8,65.6,1.052,3383.4,False,-3.2,77.75,1867.2,1.93,True,True,False,3.9,1180.0
2023-09-07,SHORT,470.0,460.0,28,1830.0,2300.0,67.8,48.91,0.638,244.3,562.5,0.434,53.6,66.8,1.017,2100.8,True,45.8,51.75,1085.8,1.54,False,False,False,37.6,660.0
2023-09-11,LONG,2710.0,40.0,40,1560.0,4270.0,40.0,-32.06,0.221,305.0,552.2,0.552,52.5,32.7,0.167,3661.9,True,18.7,-96.02,-1221.1,2.0,False,False,False,61.8,1060.0
2023-09-12,SHORT,1860.0,330.0,25,1480.0,3340.0,61.7,52.48,0.65,310.8,570.8,0.544,56.0,64.1,0.952,1826.4,False,-8.9,12.41,824.8,1.33,True,True,False,43.4,1460.0
2023-09-13,SHORT,1690.0,330.0,21,600.0,2290.0,30.0,42.64,0.448,258.6,464.8,0.556,66.7,60.1,0.861,1621.5,True,6.6,-11.4,584.6,1.25,True,True,False,96.5,350.0
2023-09-14,LONG,450.0,200.0,2,90.0,540.0,90.0,-90.0,1.0,305.0,405.0,0.753,50.0,56.9,0.798,1371.6,False,-0.8,130.13,408.8,1.24,False,True,True,1143.1,6800.0
2023-09-18,LONG,190.0,40.0,43,2070.0,2260.0,49.3,-41.66,0.415,301.2,475.6,0.633,55.8,33.4,0.199,4057.4,True,265.7,-171.33,-1221.2,2.55,False,False,True,491.3,1040.0
2023-09-19,SHORT,980.0,40.0,1,0.0,980.0,0.0,0.0,0.0,90.0,390.0,0.231,0.0,55.0,0.642,822.2,False,0.0,3.6,116.7,0.39,False,False,True,353.9,370.0
2023-09-21,SHORT,720.0,1050.0,22,1690.0,2410.0,80.5,72.07,0.404,363.2,709.1,0.512,59.1,66.2,0.928,3092.6,True,67.1,217.05,1324.8,1.91,False,False,True,130.5,3280.0
2023-09-22,SHORT,460.0,80.0,2,2870.0,3330.0,2870.0,2870.0,1.0,1625.0,2250.0,0.722,50.0,73.0,1.468,2305.7,True,152.7,97.69,2231.9,2.54,False,False,True,207.4,1280.0
2023-09-25,SHORT,340.0,110.0,34,4740.0,5080.0,143.6,111.46,0.595,355.6,611.8,0.581,50.0,76.9,0.866,6631.7,True,871.4,342.5,2425.7,2.95,False,False,True,148.9,1140.0
2023-09-27,SHORT,230.0,490.0,45,5720.0,5950.0,130.0,139.13,0.927,382.0,664.2,0.575,55.6,68.8,0.886,4166.5,True,355.5,83.37,1609.4,2.17,False,False,False,87.5,1110.0
2023-10-02,LONG,670.0,90.0,2,1190.0,1860.0,1190.0,-1190.0,1.0,890.0,1005.0,0.886,100.0,25.6,-0.327,2122.3,True,79.7,-192.82,-1755.9,3.56,False,False,True,1022.4,8940.0
2023-10-05,LONG,240.0,60.0,48,4120.0,4360.0,87.7,-91.42,0.854,412.9,766.3,0.539,56.2,30.9,0.067,3196.8,True,14.6,-94.64,-1383.3,2.41,False,False,True,376.7,210.0
2023-10-06,SHORT,750.0,240.0,24,4320.0,5070.0,187.8,48.68,0.063,547.5,841.7,0.65,54.2,76.5,1.214,5993.5,True,201.9,517.2,4276.5,3.33,False,False,True,491.9,8270.0
2023-10-09,SHORT,1880.0,60.0,6,1650.0,3530.0,330.0,303.43,0.8,468.3,786.7,0.595,83.3,72.7,0.999,3477.4,True,72.9,205.94,1734.1,2.72,False,False,True,190.2,5140.0
2023-10-12,LONG,560.0,510.0,1,0.0,560.0,0.0,0.0,0.0,480.0,540.0,0.889,0.0,45.9,0.437,1839.6,False,0.0,-13.14,-115.6,0.25,False,False,True,919.6,9490.0
2023-10-13,LONG,850.0,460.0,5,1150.0,2000.0,287.5,-245.0,0.783,326.0,712.0,0.458,80.0,34.1,-0.001,1701.2,True,48.7,-92.37,-851.6,1.55,False,False,True,265.6,3170.0
