signal,entry_time,exit_time,pair,direction,pair_entry,pair_exit,r_actual,outcome,sl_pts_dxy,dxy_outcome,dxy_entry,dxy_tp,dxy_sl,london_open,gap_pts_at_lon,wave_ext_pts
GAP_REJ_LONG,2023-09-19 12:30:00+00:00,2023-09-19 13:15:00+00:00,NZDUSD,short,0.5939,0.59365,0.266,win,940,win,104.982,105.076,104.888,105.185,-30.0,0.0
LON_ATTR_LONG,2023-09-19 17:30:00+00:00,2023-09-20 06:00:00+00:00,NZDUSD,short,0.5932,0.59414,-1.0,loss,940,win,105.082,105.223,104.988,105.185,0.0,0.0
LON_ATTR_LONG,2023-09-19 17:30:00+00:00,2023-09-20 06:00:00+00:00,AUDUSD,short,0.64595,0.64585,0.106,win,940,win,105.082,105.223,104.988,105.185,0.0,0.0
LON_ATTR_LONG,2023-09-25 06:45:00+00:00,2023-09-25 07:00:00+00:00,NZDUSD,short,0.59525,0.59542,-1.0,loss,170,loss,105.594,105.6195,105.577,105.618,0.0,0.0
LON_ATTR_LONG,2023-09-25 06:45:00+00:00,2023-09-25 07:00:00+00:00,AUDUSD,short,0.6423,0.64247,-1.0,loss,170,loss,105.594,105.6195,105.577,105.618,0.0,0.0
GAP_REJ_LONG,2023-10-09 18:30:00+00:00,2023-10-10 00:00:00+00:00,NZDUSD,short,0.60225,0.60381,-1.0,loss,1560,loss,106.084,106.24,105.928,106.379,-310.0,0.0
GAP_REJ_LONG,2023-10-09 18:30:00+00:00,2023-10-10 00:00:00+00:00,USDJPY,long,148.578,148.422,-1.0,loss,1560,loss,106.084,106.24,105.928,106.379,-310.0,0.0
REV_SHORT,2023-10-10 07:45:00+00:00,2023-10-11 17:15:00+00:00,EURUSD,long,1.05717,1.06005,1.071,win,2690,loss,148.959,148.2865,149.228,148.891,0.0,1420.0
REV_SHORT,2023-10-10 07:45:00+00:00,2023-10-11 17:15:00+00:00,AUDUSD,long,0.63975,0.64,0.093,win,2690,loss,148.959,148.2865,149.228,148.891,0.0,1420.0
REV_SHORT,2023-10-10 07:45:00+00:00,2023-10-11 17:15:00+00:00,USDCHF,short,0.9056,0.90829,-1.0,loss,2690,loss,148.959,148.2865,149.228,148.891,0.0,1420.0
REV_SHORT,2023-10-10 07:45:00+00:00,2023-10-11 17:15:00+00:00,GBPUSD,long,1.22315,1.22905,2.193,win,2690,loss,148.959,148.2865,149.228,148.891,0.0,1420.0
REV_SHORT,2023-10-10 07:45:00+00:00,2023-10-11 17:15:00+00:00,USDCAD,short,1.36084,1.36136,-0.193,loss,2690,loss,148.959,148.2865,149.228,148.891,0.0,1420.0
REV_SHORT,2023-10-10 07:45:00+00:00,2023-10-11 17:15:00+00:00,USDJPY,short,148.959,149.228,-1.0,loss,2690,loss,148.959,148.2865,149.228,148.891,0.0,1420.0
REV_SHORT,2023-10-10 07:45:00+00:00,2023-10-11 17:15:00+00:00,NZDUSD,long,0.6004,0.60175,0.502,win,2690,loss,148.959,148.2865,149.228,148.891,0.0,1420.0
GAP_REJ_LONG,2023-10-10 09:00:00+00:00,2023-10-10 11:00:00+00:00,NZDUSD,short,0.60155,0.6006,0.651,win,1460,win,105.882,106.028,105.736,106.175,-690.0,0.0
GAP_REJ_LONG,2023-10-10 09:00:00+00:00,2023-10-10 11:00:00+00:00,USDJPY,long,148.927,149.039,0.767,win,1460,win,105.882,106.028,105.736,106.175,-690.0,0.0
REV_SHORT,2023-10-10 11:15:00+00:00,2023-10-10 15:45:00+00:00,USDJPY,short,149.056,148.625,2.506,win,1720,win,149.056,148.626,149.228,148.891,0.0,1650.0
REV_SHORT,2023-10-10 11:15:00+00:00,2023-10-10 15:45:00+00:00,USDCHF,short,0.9071,0.904,1.802,win,1720,win,149.056,148.626,149.228,148.891,0.0,1650.0
REV_SHORT,2023-10-10 11:15:00+00:00,2023-10-10 15:45:00+00:00,NZDUSD,long,0.60035,0.60415,2.209,win,1720,win,149.056,148.626,149.228,148.891,0.0,1650.0
REV_SHORT,2023-10-10 11:15:00+00:00,2023-10-10 15:45:00+00:00,AUDUSD,long,0.6394,0.64305,2.122,win,1720,win,149.056,148.626,149.228,148.891,0.0,1650.0
REV_SHORT,2023-10-10 11:15:00+00:00,2023-10-10 15:45:00+00:00,GBPUSD,long,1.22435,1.22855,2.442,win,1720,win,149.056,148.626,149.228,148.891,0.0,1650.0
REV_SHORT,2023-10-10 11:15:00+00:00,2023-10-10 15:45:00+00:00,EURUSD,long,1.05793,1.0617,2.192,win,1720,win,149.056,148.626,149.228,148.891,0.0,1650.0
REV_SHORT,2023-10-10 11:15:00+00:00,2023-10-10 15:45:00+00:00,USDCAD,short,1.36047,1.35794,1.471,win,1720,win,149.056,148.626,149.228,148.891,0.0,1650.0
ATTR_CORE_LONG,2023-10-18 12:30:00+00:00,2023-10-18 12:45:00+00:00,USDCHF,long,0.89875,0.89852,-1.0,loss,230,loss,149.753,149.822,149.73,149.681,730.0,0.0
ATTR_CORE_LONG,2023-10-18 12:30:00+00:00,2023-10-18 12:45:00+00:00,GBPUSD,short,1.2178,1.21803,-1.0,loss,230,loss,149.753,149.822,149.73,149.681,730.0,0.0
ATTR_CORE_LONG,2023-10-18 12:30:00+00:00,2023-10-18 12:45:00+00:00,EURUSD,short,1.05559,1.05569,-0.435,loss,230,loss,149.753,149.822,149.73,149.681,730.0,0.0
ATTR_CORE_LONG,2023-10-18 12:30:00+00:00,2023-10-18 12:45:00+00:00,NZDUSD,short,0.58815,0.58838,-1.0,loss,230,loss,149.753,149.822,149.73,149.681,730.0,0.0
ATTR_CORE_LONG,2023-10-18 12:30:00+00:00,2023-10-18 12:45:00+00:00,USDJPY,long,149.753,149.73,-1.0,loss,230,loss,149.753,149.822,149.73,149.681,730.0,0.0
ATTR_CORE_LONG,2023-10-18 12:30:00+00:00,2023-10-18 12:45:00+00:00,USDCAD,long,1.36615,1.36592,-1.0,loss,230,loss,149.753,149.822,149.73,149.681,730.0,0.0
ATTR_CORE_LONG,2023-10-18 12:30:00+00:00,2023-10-18 12:45:00+00:00,AUDUSD,short,0.6358,0.63603,-1.0,loss,230,loss,149.753,149.822,149.73,149.681,730.0,0.0
GAP_REJ_LONG,2023-10-20 13:15:00+00:00,2023-10-20 13:30:00+00:00,USDJPY,long,149.935,149.899,-1.0,loss,360,loss,106.214,106.25,106.178,106.336,-220.0,0.0
GAP_REJ_LONG,2023-10-20 13:15:00+00:00,2023-10-20 13:30:00+00:00,NZDUSD,short,0.5826,0.58296,-1.0,loss,360,loss,106.214,106.25,106.178,106.336,-220.0,0.0
LON_ATTR_LONG,2023-10-23 08:15:00+00:00,2023-10-23 14:15:00+00:00,NZDUSD,short,0.58205,0.58351,-1.0,loss,1460,loss,106.101,106.32,105.955,106.292,0.0,0.0
LON_ATTR_LONG,2023-10-23 08:15:00+00:00,2023-10-23 14:15:00+00:00,USDJPY,long,149.885,149.874,-0.075,loss,1460,loss,106.101,106.466,105.955,106.292,0.0,0.0
