type,entry_time,entry,tp,sl,sl_pts,tp_pts,zone_top,zone_bottom,zone_width,pristine,outcome,exit_px,exit_time,bias_1h,bias_4h
REV_LONG,2025-07-03 07:45:00+00:00,96.778,96.856,96.7,780,780,96.774,96.747,270,False,win,96.856,2025-07-03 10:00:00+00:00,1,1
ATTR_LONG,2025-07-04 07:45:00+00:00,96.998,97.017,96.979,190,190,97.127,97.012,1150,True,loss,96.979,2025-07-04 08:00:00+00:00,1,1
REV_LONG,2025-07-14 08:45:00+00:00,97.922,97.98,97.864,580,580,97.91,97.892,180,False,loss,97.864,2025-07-14 09:45:00+00:00,1,1
ATTR_LONG,2025-07-16 09:45:00+00:00,98.559,98.588,98.53,290,290,98.635,98.583,520,True,loss,98.53,2025-07-16 10:30:00+00:00,1,1
REV_LONG,2025-07-16 11:15:00+00:00,98.587,98.737,98.437,1500,1500,98.635,98.583,520,False,win,98.737,2025-07-16 13:15:00+00:00,1,1
ATTR_SHORT,2025-07-17 10:45:00+00:00,98.73,98.344,99.116,3860,3860,98.349,98.279,700,True,win,98.344,2025-07-18 08:30:00+00:00,1,1
ATTR_LONG,2025-07-21 18:30:00+00:00,97.892,98.412,97.372,5200,5200,98.423,98.407,160,True,loss,97.372,2025-07-22 16:00:00+00:00,-1,1
REV_LONG,2025-07-30 10:15:00+00:00,98.909,99.092,98.726,1830,1830,98.921,98.898,230,False,win,99.092,2025-07-30 12:15:00+00:00,1,1
REV_LONG,2025-08-01 07:30:00+00:00,100.023,100.132,99.914,1090,1090,100.05,100.011,390,False,win,100.132,2025-08-01 08:30:00+00:00,1,1
REV_SHORT,2025-08-07 10:30:00+00:00,98.162,98.123,98.201,390,390,98.193,98.19,30,False,win,98.123,2025-08-07 11:00:00+00:00,-1,-1
REV_SHORT,2025-08-11 08:00:00+00:00,98.186,98.136,98.236,500,500,98.231,98.22,110,False,loss,98.236,2025-08-11 09:15:00+00:00,-1,-1
ATTR_LONG,2025-08-13 15:30:00+00:00,97.725,98.031,97.419,3060,3060,98.053,98.026,270,True,win,98.031,2025-08-14 12:30:00+00:00,-1,-1
REV_LONG,2025-08-26 07:30:00+00:00,98.422,98.602,98.242,1800,1800,98.471,98.434,370,False,loss,98.242,2025-08-26 11:00:00+00:00,1,1
ATTR_SHORT,2025-08-27 13:00:00+00:00,98.562,98.24,98.884,3220,3220,98.245,98.212,330,True,win,98.24,2025-08-27 16:45:00+00:00,1,1
REV_SHORT,2025-08-28 08:30:00+00:00,98.14,98.053,98.227,870,870,98.184,98.118,660,False,win,98.053,2025-08-28 09:30:00+00:00,-1,-1
REV_SHORT,2025-08-29 08:15:00+00:00,97.906,97.788,98.024,1180,1180,97.897,97.869,280,False,loss,98.024,2025-08-29 10:15:00+00:00,-1,-1
ATTR_SHORT,2025-09-03 07:45:00+00:00,98.419,98.391,98.447,280,280,98.396,98.305,910,True,win,98.391,2025-09-03 08:00:00+00:00,1,1
