ATTR_MIN_GAP,ATTR_APPROACH_PTS,ATTR_NEAR_BUFFER,ATTR_MIN_REWARD,n_signals,EURUSD_std_N,EURUSD_std_WR,EURUSD_std_PF,EURUSD_std_Net,EURUSD_dxy_N,EURUSD_dxy_WR,EURUSD_dxy_PF,EURUSD_dxy_Net,USDJPY_std_N,USDJPY_std_WR,USDJPY_std_PF,USDJPY_std_Net,USDJPY_dxy_N,USDJPY_dxy_WR,USDJPY_dxy_PF,USDJPY_dxy_Net,USDCAD_std_N,USDCAD_std_WR,USDCAD_std_PF,USDCAD_std_Net,USDCAD_dxy_N,USDCAD_dxy_WR,USDCAD_dxy_PF,USDCAD_dxy_Net
75,75,0,100,164,151,55.0,1.224,15,150,51.7,1.09,7.99,151,52.0,1.083,6,150,47.7,1.161,19.87,151,46.6,0.873,-10,150,50.0,0.865,-10.6
75,75,0,150,164,151,55.0,1.224,15,150,51.7,1.09,7.99,151,52.0,1.083,6,150,47.7,1.161,19.87,151,46.6,0.873,-10,150,50.0,0.865,-10.6
75,75,0,200,164,151,55.0,1.224,15,150,51.7,1.09,7.99,151,52.0,1.083,6,150,47.7,1.161,19.87,151,46.6,0.873,-10,150,50.0,0.865,-10.6
75,75,25,100,162,149,52.4,1.1,7,148,53.7,1.168,14.22,149,52.7,1.114,8,148,49.7,1.296,33.48,149,46.6,0.872,-10,148,50.0,0.946,-3.99
75,75,25,150,162,149,52.4,1.1,7,148,53.7,1.168,14.22,149,52.7,1.114,8,148,49.7,1.296,33.48,149,46.6,0.872,-10,148,50.0,0.946,-3.99
75,75,25,200,162,149,52.4,1.1,7,148,53.7,1.168,14.22,149,52.7,1.114,8,148,49.7,1.296,33.48,149,46.6,0.872,-10,148,50.0,0.946,-3.99
75,75,50,100,162,149,53.1,1.13,9,148,53.1,1.186,15.46,149,52.7,1.114,8,148,49.7,1.275,31.1,149,46.9,0.883,-9,148,50.0,0.969,-2.27
75,75,50,150,162,149,53.1,1.13,9,148,53.1,1.186,15.46,149,52.7,1.114,8,148,49.7,1.275,31.1,149,46.9,0.883,-9,148,50.0,0.969,-2.27
75,75,50,200,162,149,53.1,1.13,9,148,53.1,1.186,15.46,149,52.7,1.114,8,148,49.7,1.275,31.1,149,46.9,0.883,-9,148,50.0,0.969,-2.27
75,75,75,100,161,148,54.1,1.179,12,147,53.4,1.184,15.16,148,53.1,1.13,9,147,50.0,1.26,28.56,148,46.5,0.87,-10,147,50.3,0.951,-3.58
75,75,75,150,161,148,54.1,1.179,12,147,53.4,1.184,15.16,148,53.1,1.13,9,147,50.0,1.26,28.56,148,46.5,0.87,-10,147,50.3,0.951,-3.58
75,75,75,200,161,148,54.1,1.179,12,147,53.4,1.184,15.16,148,53.1,1.13,9,147,50.0,1.26,28.56,148,46.5,0.87,-10,147,50.3,0.951,-3.58
75,75,100,100,161,148,54.8,1.212,14,147,54.1,1.202,16.22,148,53.1,1.13,9,147,49.3,1.285,30.32,148,46.5,0.87,-10,147,51.0,0.973,-1.89
75,75,100,150,161,148,54.8,1.212,14,147,54.1,1.202,16.22,148,53.1,1.13,9,147,49.3,1.285,30.32,148,46.5,0.87,-10,147,51.0,0.973,-1.89
75,75,100,200,161,148,54.8,1.212,14,147,54.1,1.202,16.22,148,53.1,1.13,9,147,49.3,1.285,30.32,148,46.5,0.87,-10,147,51.0,0.973,-1.89
75,100,0,100,162,149,55.1,1.227,15,148,51.7,1.095,8.27,149,51.4,1.056,4,148,46.9,1.113,13.87,149,46.6,0.872,-10,148,50.0,0.897,-7.68
75,100,0,150,162,149,55.1,1.227,15,148,51.7,1.095,8.27,149,51.4,1.056,4,148,46.9,1.113,13.87,149,46.6,0.872,-10,148,50.0,0.897,-7.68
75,100,0,200,162,149,55.1,1.227,15,148,51.7,1.095,8.27,149,51.4,1.056,4,148,46.9,1.113,13.87,149,46.6,0.872,-10,148,50.0,0.897,-7.68
75,100,25,100,160,147,52.4,1.101,7,146,53.8,1.171,14.23,147,52.1,1.086,6,146,49.0,1.25,28.2,147,46.5,0.87,-10,146,50.0,0.976,-1.72
75,100,25,150,160,147,52.4,1.101,7,146,53.8,1.171,14.23,147,52.1,1.086,6,146,49.0,1.25,28.2,147,46.5,0.87,-10,146,50.0,0.976,-1.72
75,100,25,200,160,147,52.4,1.101,7,146,53.8,1.171,14.23,147,52.1,1.086,6,146,49.0,1.25,28.2,147,46.5,0.87,-10,146,50.0,0.976,-1.72
75,100,50,100,160,147,53.1,1.132,9,146,53.1,1.186,15.28,147,52.1,1.086,6,146,49.0,1.233,26.33,147,46.9,0.882,-9,146,50.0,0.994,-0.45
75,100,50,150,160,147,53.1,1.132,9,146,53.1,1.186,15.28,147,52.1,1.086,6,146,49.0,1.233,26.33,147,46.9,0.882,-9,146,50.0,0.994,-0.45
75,100,50,200,160,147,53.1,1.132,9,146,53.1,1.186,15.28,147,52.1,1.086,6,146,49.0,1.233,26.33,147,46.9,0.882,-9,146,50.0,0.994,-0.45
75,100,75,100,159,146,54.2,1.182,12,145,53.5,1.182,14.84,146,52.4,1.101,7,145,49.3,1.22,24.16,146,46.5,0.868,-10,145,50.3,0.97,-2.09
75,100,75,150,159,146,54.2,1.182,12,145,53.5,1.182,14.84,146,52.4,1.101,7,145,49.3,1.22,24.16,146,46.5,0.868,-10,145,50.3,0.97,-2.09
75,100,75,200,159,146,54.2,1.182,12,145,53.5,1.182,14.84,146,52.4,1.101,7,145,49.3,1.22,24.16,146,46.5,0.868,-10,145,50.3,0.97,-2.09
75,100,100,100,159,146,54.9,1.215,14,145,54.2,1.198,15.8,146,52.4,1.101,7,145,48.6,1.246,26.2,146,46.5,0.868,-10,145,51.0,0.99,-0.65
75,100,100,150,159,146,54.9,1.215,14,145,54.2,1.198,15.8,146,52.4,1.101,7,145,48.6,1.246,26.2,146,46.5,0.868,-10,145,51.0,0.99,-0.65
75,100,100,200,159,146,54.9,1.215,14,145,54.2,1.198,15.8,146,52.4,1.101,7,145,48.6,1.246,26.2,146,46.5,0.868,-10,145,51.0,0.99,-0.65
75,150,0,100,159,146,56.2,1.286,18,145,51.4,1.04,3.54,146,50.3,1.014,1,145,46.2,0.961,-4.88,146,47.6,0.907,-7,145,49.0,0.91,-6.75
75,150,0,150,159,146,56.2,1.286,18,145,51.4,1.04,3.54,146,50.3,1.014,1,145,46.2,0.961,-4.88,146,47.6,0.907,-7,145,49.0,0.91,-6.75
75,150,0,200,159,146,56.2,1.286,18,145,51.4,1.04,3.54,146,50.3,1.014,1,145,46.2,0.961,-4.88,146,47.6,0.907,-7,145,49.0,0.91,-6.75
75,150,25,100,157,144,53.5,1.152,10,143,52.8,1.093,7.88,144,51.0,1.043,3,143,47.6,1.055,6.37,144,47.5,0.905,-7,143,49.0,0.982,-1.26
75,150,25,150,157,144,53.5,1.152,10,143,52.8,1.093,7.88,144,51.0,1.043,3,143,47.6,1.055,6.37,144,47.5,0.905,-7,143,49.0,0.982,-1.26
75,150,25,200,157,144,53.5,1.152,10,143,52.8,1.093,7.88,144,51.0,1.043,3,143,47.6,1.055,6.37,144,47.5,0.905,-7,143,49.0,0.982,-1.26
75,150,50,100,157,144,53.5,1.152,10,143,52.1,1.106,8.88,144,51.0,1.043,3,143,47.6,1.038,4.43,144,47.1,0.892,-8,143,49.0,0.997,-0.25
75,150,50,150,157,144,53.5,1.152,10,143,52.1,1.106,8.88,144,51.0,1.043,3,143,47.6,1.038,4.43,144,47.1,0.892,-8,143,49.0,0.997,-0.25
75,150,50,200,157,144,53.5,1.152,10,143,52.1,1.106,8.88,144,51.0,1.043,3,143,47.6,1.038,4.43,144,47.1,0.892,-8,143,49.0,0.997,-0.25
75,150,75,100,157,144,54.2,1.185,12,143,52.8,1.116,9.6,144,51.0,1.043,3,143,48.3,1.055,6.21,144,46.4,0.867,-10,143,49.7,0.982,-1.31
75,150,75,150,157,144,54.2,1.185,12,143,52.8,1.116,9.6,144,51.0,1.043,3,143,48.3,1.055,6.21,144,46.4,0.867,-10,143,49.7,0.982,-1.31
75,150,75,200,157,144,54.2,1.185,12,143,52.8,1.116,9.6,144,51.0,1.043,3,143,48.3,1.055,6.21,144,46.4,0.867,-10,143,49.7,0.982,-1.31
75,150,100,100,157,144,54.9,1.219,14,143,53.5,1.138,11.19,144,51.0,1.043,3,143,47.6,1.067,7.37,144,46.4,0.867,-10,143,50.3,1.009,0.59
75,150,100,150,157,144,54.9,1.219,14,143,53.5,1.138,11.19,144,51.0,1.043,3,143,47.6,1.067,7.37,144,46.4,0.867,-10,143,50.3,1.009,0.59
