REV_MIN_BODY,REV_MIN_RANGE,REV_MAX_DIST,n_signals,EURUSD_std_N,EURUSD_std_WR,EURUSD_std_PF,EURUSD_std_Net,EURUSD_dxy_N,EURUSD_dxy_WR,EURUSD_dxy_PF,EURUSD_dxy_Net,USDJPY_std_N,USDJPY_std_WR,USDJPY_std_PF,USDJPY_std_Net,USDJPY_dxy_N,USDJPY_dxy_WR,USDJPY_dxy_PF,USDJPY_dxy_Net,USDCAD_std_N,USDCAD_std_WR,USDCAD_std_PF,USDCAD_std_Net,USDCAD_dxy_N,USDCAD_dxy_WR,USDCAD_dxy_PF,USDCAD_dxy_Net
100,200,300,155,141,51.8,1.075,5,140,50.4,0.977,-2.09,141,54.3,1.188,12,140,49.3,1.0,0.04,141,48.9,0.957,-3,140,50.0,1.024,1.69
100,200,400,164,149,51.0,1.042,3,148,49.7,0.998,-0.16,149,52.0,1.085,6,148,48.0,1.044,5.14,149,47.6,0.908,-7,148,48.6,0.967,-2.51
100,200,500,178,163,51.6,1.064,5,162,50.9,1.051,4.96,163,49.4,0.976,-2,162,48.1,1.041,5.2,163,47.8,0.916,-7,162,48.8,0.973,-2.18
100,200,600,188,171,49.7,0.988,-1,170,49.1,0.966,-3.62,171,49.4,0.977,-2,170,48.2,1.0,-0.07,171,47.3,0.898,-9,170,47.1,0.905,-8.46
100,300,300,154,140,52.2,1.091,6,139,50.7,0.98,-1.74,140,54.7,1.206,13,139,49.6,1.017,2.01,140,49.3,0.971,-2,139,50.4,1.028,1.95
100,300,400,162,147,52.4,1.101,7,146,51.0,1.036,3.13,147,52.7,1.116,8,146,49.3,1.094,10.61,147,49.0,0.959,-3,146,50.0,1.03,2.17
100,300,500,175,160,52.5,1.107,8,159,51.9,1.075,6.99,160,49.7,0.988,-1,159,49.1,1.08,9.86,160,48.7,0.95,-4,159,49.7,1.024,1.86
100,300,600,184,167,50.3,1.012,1,166,50.3,0.987,-1.36,167,50.0,1.0,0,166,49.4,1.066,8.57,167,48.5,0.94,-5,166,48.2,0.961,-3.32
100,400,300,148,135,51.9,1.078,5,134,51.1,1.068,5.34,135,54.5,1.197,12,134,49.3,1.009,1.05,135,48.9,0.955,-3,134,50.7,1.037,2.45
100,400,400,157,143,51.8,1.074,5,142,51.8,1.063,5.31,143,53.5,1.152,10,142,49.3,1.077,8.59,143,48.9,0.958,-3,142,50.7,1.078,5.33
100,400,500,169,155,52.3,1.096,7,154,51.6,1.072,6.51,155,50.6,1.026,2,154,48.1,1.022,2.75,155,47.7,0.911,-7,154,49.4,1.032,2.37
100,400,600,178,162,50.6,1.025,2,161,50.0,0.988,-1.24,162,50.3,1.012,1,161,48.4,1.034,4.35,162,46.8,0.881,-10,161,47.8,0.963,-3.01
100,500,300,138,126,50.8,1.033,2,125,50.0,1.022,1.65,126,52.8,1.119,7,125,47.2,0.913,-9.34,126,48.4,0.937,-4,125,48.8,0.964,-2.33
100,500,400,145,132,50.8,1.031,2,131,50.8,1.049,3.84,132,52.7,1.113,7,131,47.3,0.966,-3.59,132,48.4,0.939,-4,131,48.9,1.003,0.21
100,500,500,152,139,52.6,1.108,7,138,51.1,1.067,5.44,139,51.4,1.06,4,138,47.1,0.923,-8.74,139,48.1,0.929,-5,138,49.3,0.998,-0.11
100,500,600,162,147,51.0,1.042,3,146,49.7,0.986,-1.3,147,51.4,1.056,4,146,47.9,0.948,-6.08,147,47.6,0.907,-7,146,47.9,0.944,-4.17
150,200,300,150,136,53.0,1.127,8,135,51.5,1.029,2.48,136,54.1,1.177,11,135,49.6,1.019,2.12,136,50.0,1.0,0,135,50.4,1.0,0.0
150,200,400,159,144,52.8,1.119,8,143,51.4,1.063,5.4,144,51.7,1.072,5,143,49.0,1.079,8.81,144,49.3,0.972,-2,143,49.7,0.963,-2.77
150,200,500,168,153,53.6,1.157,11,152,52.3,1.114,10.17,153,50.0,1.0,0,152,49.3,1.077,9.02,153,49.0,0.961,-3,152,50.0,0.96,-3.17
150,200,600,177,161,51.6,1.065,5,160,50.3,1.016,1.59,161,50.0,1.0,0,160,49.4,1.029,3.75,161,48.4,0.938,-5,160,48.1,0.891,-9.45
150,300,300,149,135,52.6,1.111,7,134,51.1,1.016,1.38,135,54.5,1.197,12,134,49.3,1.008,0.92,135,49.6,0.985,-1,134,50.0,0.992,-0.55
150,300,400,157,142,52.9,1.121,8,141,51.4,1.074,6.25,142,52.5,1.104,7,141,48.9,1.087,9.52,142,49.3,0.971,-2,141,49.6,0.995,-0.33
150,300,500,165,150,53.4,1.145,10,149,52.0,1.112,9.76,150,50.3,1.014,1,149,49.0,1.077,8.91,150,48.6,0.947,-4,149,49.7,0.982,-1.36
150,300,600,173,157,51.0,1.039,3,156,50.3,1.014,1.41,157,50.6,1.026,2,156,49.4,1.062,7.63,157,48.4,0.937,-5,156,48.1,0.921,-6.55
150,400,300,143,130,52.3,1.098,6,129,51.6,1.113,8.4,130,54.3,1.186,11,129,48.8,1.024,2.6,130,49.2,0.969,-2,129,50.4,1.031,1.98
150,400,400,152,138,52.2,1.092,6,137,52.2,1.105,8.38,138,53.3,1.141,9,137,48.9,1.095,10.14,138,49.3,0.971,-2,137,50.4,1.073,4.87
150,400,500,160,146,52.8,1.118,8,145,51.4,1.091,7.77,146,51.0,1.042,3,145,47.6,1.029,3.39,146,47.9,0.919,-6,145,49.7,1.025,1.83
150,400,600,168,153,51.0,1.041,3,152,49.7,1.0,0.02,153,50.7,1.027,2,152,48.0,1.042,4.98,153,47.0,0.886,-9,152,48.0,0.955,-3.55
150,500,300,136,124,51.6,1.068,4,123,50.8,1.039,2.89,124,53.7,1.158,9,123,47.2,0.915,-9.08,124,49.2,0.967,-2,123,48.8,0.973,-1.71
150,500,400,143,130,51.6,1.065,4,129,51.6,1.067,5.08,130,53.5,1.15,9,129,47.3,0.969,-3.33,130,49.2,0.969,-2,129,48.8,1.013,0.84
150,500,500,150,137,52.6,1.109,7,136,51.1,1.071,5.75,137,51.5,1.061,4,136,46.3,0.914,-9.88,137,48.1,0.928,-5,136,48.5,0.985,-1.04
150,500,600,159,145,51.0,1.043,3,144,49.7,0.989,-0.99,145,51.4,1.057,4,144,47.2,0.939,-7.23,145,47.5,0.905,-7,144,47.2,0.931,-5.1
200,200,300,141,129,53.5,1.153,9,128,52.0,1.045,3.54,129,54.7,1.207,12,128,48.4,0.98,-2.21,129,49.6,0.984,-1,128,49.2,0.996,-0.25
200,200,400,152,139,53.3,1.141,9,138,52.6,1.106,8.54,139,52.9,1.123,8,138,48.6,1.099,10.66,139,48.1,0.929,-5,138,49.3,0.997,-0.2
200,200,500,160,147,53.8,1.164,11,146,51.7,1.092,7.94,147,50.7,1.028,2,146,47.3,1.033,3.9,147,46.9,0.882,-9,146,48.6,0.957,-3.24
200,200,600,166,152,52.0,1.083,6,151,50.7,1.046,4.17,152,51.0,1.041,3,151,47.0,1.012,1.49,152,46.6,0.873,-10,151,47.7,0.926,-5.84
200,300,300,141,129,53.5,1.153,9,128,52.0,1.045,3.54,129,54.7,1.207,12,128,48.4,0.98,-2.21,129,49.6,0.984,-1,128,49.2,0.996,-0.25
200,300,400,151,138,53.7,1.159,10,137,52.9,1.131,10.3,138,53.3,1.141,9,137,48.9,1.108,11.57,138,48.5,0.942,-4,137,49.6,1.017,1.16
200,300,500,159,146,54.2,1.182,12,145,52.1,1.115,9.7,146,51.0,1.042,3,145,47.6,1.041,4.81,146,47.2,0.893,-8,145,49.0,0.975,-1.88
200,300,600,165,151,52.3,1.099,7,150,51.0,1.066,5.93,151,51.3,1.055,4,150,47.3,1.02,2.4,151,46.9,0.885,-9,150,48.0,0.942,-4.47
200,400,300,139,127,52.8,1.119,7,126,52.0,1.115,8.36,127,54.0,1.172,10,126,48.4,1.005,0.51,127,48.8,0.952,-3,126,49.2,0.997,-0.19
200,400,400,149,136,53.0,1.127,8,135,53.0,1.122,9.49,136,53.3,1.143,9,135,48.9,1.105,11.19,136,48.5,0.941,-4,135,49.6,1.042,2.79
200,400,500,157,144,53.5,1.152,10,143,52.1,1.106,8.88,144,51.0,1.043,3,143,47.6,1.038,4.43,144,47.1,0.892,-8,143,49.0,0.997,-0.25
200,400,600,163,149,52.4,1.1,7,148,51.0,1.065,5.71,149,50.7,1.027,2,148,47.3,1.041,4.9,149,46.2,0.859,-11,148,48.0,0.96,-3.04
200,500,300,132,121,52.1,1.088,5,120,51.3,1.048,3.48,121,53.3,1.143,8,120,46.7,0.901,-10.55,121,47.9,0.918,-5,120,47.5,0.943,-3.59
200,500,400,140,128,52.4,1.1,6,127,52.4,1.091,6.82,128,53.5,1.153,9,127,47.2,0.984,-1.66,128,47.6,0.908,-6,127,48.0,0.985,-0.94
200,500,500,147,135,53.4,1.145,9,134,51.9,1.095,7.49,135,51.5,1.062,4,134,46.3,0.928,-8.21,135,46.6,0.871,-9,134,47.8,0.959,-2.82
200,500,600,154,141,52.5,1.106,7,140,51.1,1.064,5.34,141,51.4,1.059,4,140,46.4,0.944,-6.68,141,46.0,0.851,-11,140,47.1,0.94,-4.3
250,200,300,139,127,54.4,1.193,11,126,52.0,1.047,3.7,127,55.6,1.25,14,126,49.2,0.978,-2.39,127,50.4,1.016,1,126,49.2,0.991,-0.55
250,200,400,149,136,54.5,1.197,12,135,53.0,1.135,10.46,136,54.1,1.177,11,135,49.6,1.106,11.39,136,49.2,0.97,-2,135,49.6,1.013,0.86
250,200,500,155,142,55.7,1.258,16,141,52.9,1.149,12.04,142,53.2,1.136,9,141,48.9,1.063,7.23,142,48.6,0.944,-4,141,49.6,0.995,-0.37
250,200,600,159,145,53.8,1.167,11,144,51.7,1.092,7.81,145,52.8,1.118,8,144,48.6,1.055,6.41,145,47.5,0.905,-7,144,48.6,0.971,-2.16
250,300,300,139,127,54.4,1.193,11,126,52.0,1.047,3.7,127,55.6,1.25,14,126,49.2,0.978,-2.39,127,50.4,1.016,1,126,49.2,0.991,-0.55
250,300,400,149,136,54.5,1.197,12,135,53.0,1.135,10.46,136,54.1,1.177,11,135,49.6,1.106,11.39,136,49.2,0.97,-2,135,49.6,1.013,0.86
250,300,500,155,142,55.7,1.258,16,141,52.9,1.149,12.04,142,53.2,1.136,9,141,48.9,1.063,7.23,142,48.6,0.944,-4,141,49.6,0.995,-0.37
250,300,600,159,145,53.8,1.167,11,144,51.7,1.092,7.81,145,52.8,1.118,8,144,48.6,1.055,6.41,145,47.5,0.905,-7,144,48.6,0.971,-2.16
250,400,300,137,125,53.7,1.158,9,124,52.0,1.118,8.52,125,54.8,1.214,12,124,49.2,1.003,0.33,125,49.6,0.984,-1,124,49.2,0.992,-0.5
250,400,400,147,134,53.8,1.164,10,133,53.0,1.125,9.65,134,54.1,1.18,11,133,49.6,1.103,11.01,134,49.2,0.97,-2,133,49.6,1.037,2.49
250,400,500,153,140,55.1,1.226,14,139,52.9,1.14,11.22,140,53.2,1.138,9,139,48.9,1.06,6.85,140,48.5,0.943,-4,139,49.6,1.018,1.26
250,400,600,158,144,53.5,1.152,10,143,51.4,1.075,6.41,144,52.4,1.103,7,143,48.3,1.048,5.64,144,47.1,0.892,-8,143,48.3,0.966,-2.48
250,500,300,130,119,53.0,1.127,7,118,52.1,1.08,5.59,119,54.2,1.185,10,118,47.5,0.915,-8.97,119,48.7,0.949,-3,118,48.3,0.952,-3.03
250,500,400,138,126,53.2,1.138,8,125,53.2,1.123,8.94,126,54.4,1.193,11,125,48.0,0.999,-0.08,126,48.4,0.937,-4,125,48.8,0.994,-0.38
250,500,500,144,132,54.6,1.203,12,131,53.1,1.139,10.51,132,53.4,1.148,9,131,47.3,0.962,-4.25,132,47.7,0.91,-6,131,48.9,0.976,-1.62
250,500,600,150,137,53.3,1.143,9,136,51.9,1.083,6.72,137,52.9,1.125,8,136,47.1,0.962,-4.39,137,46.6,0.873,-9,136,47.8,0.943,-4.04
300,200,300,136,125,54.5,1.196,11,124,52.0,1.05,3.87,125,54.8,1.214,12,124,48.4,0.909,-10.06,125,49.6,0.984,-1,124,49.2,0.965,-2.24
300,200,400,144,133,55.0,1.22,13,132,52.7,1.056,4.66,133,54.5,1.2,12,132,48.5,0.984,-1.81,133,49.6,0.985,-1,132,49.2,0.98,-1.35
300,200,500,149,138,55.9,1.267,16,137,52.9,1.094,7.89,138,54.0,1.175,11,137,48.2,0.982,-1.99,138,49.3,0.971,-2,137,49.6,0.971,-2.01
300,200,600,153,141,54.0,1.172,11,140,51.8,1.113,9.3,141,52.9,1.121,8,140,47.9,1.002,0.28,141,47.4,0.903,-7,140,48.6,0.926,-5.37
300,300,300,136,125,54.5,1.196,11,124,52.0,1.05,3.87,125,54.8,1.214,12,124,48.4,0.909,-10.06,125,49.6,0.984,-1,124,49.2,0.965,-2.24
300,300,400,144,133,55.0,1.22,13,132,52.7,1.056,4.66,133,54.5,1.2,12,132,48.5,0.984,-1.81,133,49.6,0.985,-1,132,49.2,0.98,-1.35
300,300,500,149,138,55.9,1.267,16,137,52.9,1.094,7.89,138,54.0,1.175,11,137,48.2,0.982,-1.99,138,49.3,0.971,-2,137,49.6,0.971,-2.01
300,300,600,153,141,54.0,1.172,11,140,51.8,1.113,9.3,141,52.9,1.121,8,140,47.9,1.002,0.28,141,47.4,0.903,-7,140,48.6,0.926,-5.37
300,400,300,134,123,53.7,1.161,9,122,52.1,1.122,8.7,123,54.1,1.179,10,122,48.4,0.932,-7.35,123,48.7,0.951,-3,122,49.2,0.966,-2.18
300,400,400,142,131,54.3,1.186,11,130,52.7,1.124,9.48,131,53.8,1.167,10,130,48.5,1.008,0.9,131,48.8,0.954,-3,130,49.2,0.98,-1.3
300,400,500,147,136,55.2,1.233,14,135,53.0,1.164,12.71,136,53.3,1.143,9,135,48.1,1.007,0.72,136,48.5,0.941,-4,135,49.6,0.972,-1.95
300,400,600,152,140,53.6,1.156,10,139,51.4,1.096,7.9,140,52.5,1.106,7,139,47.5,0.996,-0.49,140,47.1,0.889,-8,139,48.2,0.922,-5.69
300,500,300,128,118,52.6,1.109,6,117,51.7,1.069,4.86,118,53.8,1.167,9,117,47.0,0.883,-12.35,118,48.2,0.932,-4,117,47.9,0.923,-4.81
300,500,400,135,125,52.8,1.121,7,124,52.8,1.113,8.2,125,54.0,1.175,10,124,47.6,0.967,-3.46,125,47.9,0.921,-5,124,48.4,0.966,-2.16
300,500,500,140,130,53.9,1.169,10,129,53.1,1.155,11.43,130,53.5,1.15,9,129,47.3,0.966,-3.64,130,47.6,0.909,-6,129,48.8,0.957,-2.81
300,500,600,146,135,52.6,1.111,7,134,51.9,1.097,7.64,135,53.0,1.127,8,134,47.0,0.966,-3.79,135,46.6,0.871,-9,134,47.8,0.925,-5.23
