signal,pair,entry_time,exit_time,direction,entry,exit_px,sl_pts_dxy,dxy_outcome,outcome,r_val
GAP_REJ_LONG,EURUSD,2023-10-09 18:30:00+00:00,2023-10-10 00:00:00+00:00,short,1.05652,1.05759,1560,loss,loss,-0.6859
GAP_REJ_LONG,EURUSD,2023-10-10 09:00:00+00:00,2023-10-10 11:00:00+00:00,short,1.06001,1.05845,1460,win,win,1.0685
GAP_REJ_LONG,EURUSD,2023-10-20 13:15:00+00:00,2023-10-20 13:30:00+00:00,short,1.05835,1.05861,360,loss,loss,-0.7222
ATTR_SHORT,EURUSD,2023-12-04 09:00:00+00:00,2023-12-04 14:00:00+00:00,long,1.08704,1.08309,2780,loss,loss,-1.4209
GAP_REJ_LONG,EURUSD,2024-01-08 10:15:00+00:00,2024-01-08 10:30:00+00:00,short,1.09375,1.09402,280,loss,loss,-0.9643
GAP_REJ_SHORT,EURUSD,2024-01-29 11:45:00+00:00,2024-01-29 12:30:00+00:00,long,1.08229,1.08351,1010,win,win,1.2079
GAP_REJ_LONG,EURUSD,2024-02-07 11:45:00+00:00,2024-02-07 12:00:00+00:00,short,1.07711,1.07702,250,win,win,0.36
ATTR_LONG,EURUSD,2024-10-07 08:15:00+00:00,2024-10-07 09:00:00+00:00,short,1.09741,1.09628,930,win,win,1.2151
GAP_REJ_SHORT,EURUSD,2024-10-14 08:30:00+00:00,2024-10-14 08:45:00+00:00,long,1.09287,1.09265,130,loss,loss,-1.6923
ATTR_SHORT,EURUSD,2024-10-28 07:30:00+00:00,2024-10-28 07:45:00+00:00,long,1.07988,1.08038,210,loss,win,2.381
GAP_REJ_LONG,EURUSD,2024-11-18 14:00:00+00:00,2024-11-18 16:45:00+00:00,short,1.05638,1.05854,1760,loss,loss,-1.2273
REV_SHORT,EURUSD,2024-11-25 10:15:00+00:00,2024-11-25 13:15:00+00:00,long,1.04905,1.05205,3000,win,win,1.0
GAP_REJ_SHORT,EURUSD,2024-12-30 07:30:00+00:00,2024-12-30 08:15:00+00:00,long,1.04255,1.04192,380,loss,loss,-1.6579
GAP_REJ_LONG,EURUSD,2025-02-26 09:00:00+00:00,2025-02-26 10:15:00+00:00,short,1.04976,1.04929,540,win,win,0.8704
GAP_REJ_LONG,EURUSD,2025-04-07 08:00:00+00:00,2025-04-07 08:15:00+00:00,short,1.1005,1.09701,120,win,win,29.0833
GAP_REJ_LONG,EURUSD,2025-04-28 09:45:00+00:00,2025-04-28 11:15:00+00:00,short,1.13495,1.13437,740,win,win,0.7838
GAP_REJ_LONG,EURUSD,2025-05-06 07:00:00+00:00,2025-05-06 07:30:00+00:00,short,1.13271,1.13459,1070,loss,loss,-1.757
GAP_REJ_SHORT,EURUSD,2025-06-09 13:15:00+00:00,2025-06-09 14:00:00+00:00,long,1.13952,1.14068,780,win,win,1.4872
GAP_REJ_LONG,EURUSD,2025-06-16 09:30:00+00:00,2025-06-16 14:00:00+00:00,short,1.15764,1.16092,2950,loss,loss,-1.1119
REV_SHORT,EURUSD,2025-06-20 08:15:00+00:00,2025-06-22 22:00:00+00:00,long,1.15141,1.14864,3000,loss,loss,-0.9233
REV_SHORT,EURUSD,2025-06-20 11:45:00+00:00,2025-06-22 22:00:00+00:00,long,1.15208,1.14864,3000,loss,loss,-1.1467
GAP_REJ_LONG,EURUSD,2025-07-04 06:15:00+00:00,2025-07-07 02:30:00+00:00,short,1.17788,1.17703,1810,win,win,0.4696
