signal,pair,entry_time,exit_time,direction,entry,exit_px,sl_pts_dxy,dxy_outcome,outcome,r_val
GAP_REJ_LONG,EURUSD,2023-10-09 18:30:00+00:00,2023-10-10 00:00:00+00:00,short,1.05652,1.05808,1560,loss,loss,-1.0
GAP_REJ_LONG,EURUSD,2023-10-10 09:00:00+00:00,2023-10-10 11:00:00+00:00,short,1.06001,1.05855,1460,win,win,1.0
GAP_REJ_LONG,EURUSD,2023-10-20 13:15:00+00:00,2023-10-20 13:30:00+00:00,short,1.05835,1.05871,360,loss,loss,-1.0
ATTR_SHORT,EURUSD,2023-12-04 09:00:00+00:00,2023-12-04 14:00:00+00:00,long,1.08704,1.08426,2780,loss,loss,-1.0
GAP_REJ_LONG,EURUSD,2024-01-08 10:15:00+00:00,2024-01-08 10:30:00+00:00,short,1.09375,1.09403,280,loss,loss,-1.0
GAP_REJ_SHORT,EURUSD,2024-01-29 11:45:00+00:00,2024-01-29 12:30:00+00:00,long,1.08229,1.0833,1010,win,win,1.0
GAP_REJ_LONG,EURUSD,2024-02-07 11:45:00+00:00,2024-02-07 12:15:00+00:00,short,1.07711,1.07686,250,win,win,1.0
ATTR_LONG,EURUSD,2024-10-07 08:15:00+00:00,2024-10-07 09:00:00+00:00,short,1.09741,1.09648,930,win,win,1.0
GAP_REJ_SHORT,EURUSD,2024-10-14 08:30:00+00:00,2024-10-14 08:45:00+00:00,long,1.09287,1.09274,130,loss,loss,-1.0
ATTR_SHORT,EURUSD,2024-10-28 07:30:00+00:00,2024-10-28 07:45:00+00:00,long,1.07988,1.08009,210,loss,win,1.0
GAP_REJ_LONG,EURUSD,2024-11-18 14:00:00+00:00,2024-11-18 16:45:00+00:00,short,1.05638,1.05814,1760,loss,loss,-1.0
REV_SHORT,EURUSD,2024-11-25 10:15:00+00:00,2024-11-25 13:15:00+00:00,long,1.04905,1.05205,3000,win,win,1.0
GAP_REJ_SHORT,EURUSD,2024-12-30 07:30:00+00:00,2024-12-30 08:00:00+00:00,long,1.04255,1.04293,380,loss,win,1.0
GAP_REJ_LONG,EURUSD,2025-02-26 09:00:00+00:00,2025-02-26 10:15:00+00:00,short,1.04976,1.04922,540,win,win,1.0
GAP_REJ_LONG,EURUSD,2025-04-07 08:00:00+00:00,2025-04-07 08:15:00+00:00,short,1.1005,1.10062,120,win,loss,-1.0
GAP_REJ_LONG,EURUSD,2025-04-28 09:45:00+00:00,2025-04-28 10:15:00+00:00,short,1.13495,1.13569,740,win,loss,-1.0
GAP_REJ_LONG,EURUSD,2025-05-06 07:00:00+00:00,2025-05-06 07:15:00+00:00,short,1.13271,1.13378,1070,loss,loss,-1.0
GAP_REJ_SHORT,EURUSD,2025-06-09 13:15:00+00:00,2025-06-09 13:45:00+00:00,long,1.13952,1.1403,780,win,win,1.0
GAP_REJ_LONG,EURUSD,2025-06-16 09:30:00+00:00,2025-06-16 14:00:00+00:00,short,1.15764,1.16059,2950,loss,loss,-1.0
REV_SHORT,EURUSD,2025-06-20 08:15:00+00:00,2025-06-22 21:00:00+00:00,long,1.15141,1.14841,3000,loss,loss,-1.0
REV_SHORT,EURUSD,2025-06-20 11:45:00+00:00,2025-06-22 21:00:00+00:00,long,1.15208,1.14908,3000,loss,loss,-1.0
GAP_REJ_LONG,EURUSD,2025-07-04 06:15:00+00:00,2025-07-07 06:30:00+00:00,short,1.17788,1.17607,1810,win,win,1.0
GAP_REJ_SHORT,EURUSD,2025-07-28 06:30:00+00:00,2025-07-28 07:45:00+00:00,long,1.17183,1.16897,2860,loss,loss,-1.0
REV_LONG,EURUSD,2025-07-28 07:15:00+00:00,2025-07-28 07:45:00+00:00,short,1.17089,1.16789,3000,win,win,1.0
GAP_REJ_SHORT,EURUSD,2025-10-13 09:00:00+00:00,2025-10-13 10:15:00+00:00,long,1.15948,1.15832,1160,loss,loss,-1.0
REV_SHORT,EURUSD,2025-10-17 07:00:00+00:00,2025-10-17 12:00:00+00:00,long,1.17079,1.16779,3000,loss,loss,-1.0
REV_SHORT,EURUSD,2025-10-28 07:00:00+00:00,2025-10-28 13:15:00+00:00,long,1.16556,1.16256,3000,loss,loss,-1.0
REV_SHORT,EURUSD,2025-10-28 07:15:00+00:00,2025-10-28 13:15:00+00:00,long,1.16557,1.16257,3000,loss,loss,-1.0
REV_SHORT,EURUSD,2025-10-28 09:30:00+00:00,2025-10-28 13:00:00+00:00,long,1.16583,1.16283,3000,loss,loss,-1.0
REV_SHORT,EURUSD,2025-10-28 09:45:00+00:00,2025-10-28 13:00:00+00:00,long,1.16569,1.16269,3000,loss,loss,-1.0
REV_SHORT,EURUSD,2025-10-28 10:00:00+00:00,2025-10-28 13:00:00+00:00,long,1.16582,1.16282,3000,loss,loss,-1.0
GAP_REJ_SHORT,EURUSD,2025-11-04 06:30:00+00:00,2025-11-04 07:00:00+00:00,long,1.15258,1.15298,400,win,win,1.0
ATTR_SHORT,EURUSD,2025-11-17 09:30:00+00:00,2025-11-17 13:00:00+00:00,long,1.16033,1.15946,870,loss,loss,-1.0
REV_SHORT,EURUSD,2025-11-27 07:45:00+00:00,2025-11-28 10:30:00+00:00,long,1.15915,1.15615,3000,win,loss,-1.0
GAP_REJ_LONG,EURUSD,2026-01-19 08:15:00+00:00,2026-01-19 08:30:00+00:00,short,1.16194,1.162,60,loss,loss,-1.0
REV_SHORT,EURUSD,2026-01-20 07:00:00+00:00,2026-01-20 08:00:00+00:00,long,1.16672,1.16972,3000,win,win,1.0
ATTR_LONG,EURUSD,2026-02-09 08:00:00+00:00,2026-02-09 13:15:00+00:00,short,1.18579,1.1892,3410,loss,loss,-1.0
ATTR_LONG,EURUSD,2026-02-23 07:45:00+00:00,2026-02-23 08:00:00+00:00,short,1.18232,1.18166,660,win,win,1.0
REV_LONG,EURUSD,2026-03-09 08:00:00+00:00,2026-03-09 08:30:00+00:00,short,1.15501,1.15201,3000,loss,win,1.0
GAP_REJ_LONG,EURUSD,2026-03-16 16:45:00+00:00,2026-03-17 13:15:00+00:00,short,1.14935,1.15426,4910,loss,loss,-1.0
REV_LONG,EURUSD,2026-03-25 07:45:00+00:00,2026-03-25 14:00:00+00:00,short,1.15975,1.15675,3000,win,win,1.0
ATTR_LONG,EURUSD,2026-04-13 06:30:00+00:00,2026-04-13 07:00:00+00:00,short,1.16792,1.16893,1010,loss,loss,-1.0
REV_LONG,EURUSD,2026-04-28 09:45:00+00:00,2026-04-29 18:45:00+00:00,short,1.16922,1.16622,3000,win,win,1.0
GAP_REJ_LONG,EURUSD,2026-05-11 07:45:00+00:00,2026-05-11 08:00:00+00:00,short,1.1772,1.17733,130,loss,loss,-1.0
