entry_time,pair,outcome,r_actual,exit_time,pair_entry,pair_exit,london_open,dxy_entry,dxy_tp,dxy_sl,dxy_outcome
2023-09-19 17:30:00+00:00,AUDUSD,WIN,1.117,2023-09-20 03:45:00+00:00,0.64595,0.6449,105.185,105.082,105.176,104.988,win
2023-09-19 17:30:00+00:00,NZDUSD,LOSS,-1.0,2023-09-20 03:45:00+00:00,0.5932,0.5935,105.185,105.082,105.176,104.988,win
2023-09-25 06:45:00+00:00,AUDUSD,LOSS,-1.0,,,,,,,,
2023-09-25 06:45:00+00:00,NZDUSD,LOSS,-1.0,,,,,,,,
2023-10-23 08:15:00+00:00,AUDUSD,WIN,0.582,2023-10-23 13:30:00+00:00,0.63115,0.6303,106.292,106.101,106.247,105.955,win
2023-10-23 08:15:00+00:00,NZDUSD,WIN,0.445,2023-10-23 13:30:00+00:00,0.58205,0.5814,106.292,106.101,106.247,105.955,win
2023-10-23 08:15:00+00:00,USDJPY,WIN,0.411,2023-10-23 13:30:00+00:00,149.885,149.945,106.292,106.101,106.247,105.955,win
2024-01-09 07:30:00+00:00,AUDUSD,WIN,2.857,,,,,,,,
2024-01-09 07:30:00+00:00,NZDUSD,LOSS,-1.0,,,,,,,,
2024-01-09 07:30:00+00:00,USDJPY,WIN,6.429,,,,,,,,
2024-01-10 09:30:00+00:00,AUDUSD,LOSS,-0.432,2024-01-11 01:45:00+00:00,0.6709,0.6717,102.634,102.43,102.615,102.245,loss
2024-01-10 09:30:00+00:00,NZDUSD,WIN,0.351,2024-01-11 01:45:00+00:00,0.62465,0.624,102.634,102.43,102.615,102.245,loss
2024-01-10 09:30:00+00:00,USDJPY,WIN,2.368,2024-01-11 01:45:00+00:00,144.925,145.363,102.634,102.43,102.615,102.245,loss
2024-02-07 11:45:00+00:00,AUDUSD,LOSS,-1.0,,,,,,,,
2024-02-07 11:45:00+00:00,NZDUSD,LOSS,-1.0,,,,,,,,
2024-02-07 11:45:00+00:00,USDJPY,WIN,18.75,,,,,,,,
2024-02-19 07:30:00+00:00,AUDUSD,WIN,0.645,,,,,,,,
2024-02-19 07:30:00+00:00,NZDUSD,WIN,0.484,,,,,,,,
2024-02-19 07:30:00+00:00,USDJPY,WIN,1.0,,,,,,,,
2024-04-08 07:15:00+00:00,AUDUSD,LOSS,-1.0,,,,,,,,
2024-04-08 07:15:00+00:00,NZDUSD,LOSS,-1.0,,,,,,,,
2024-04-08 07:15:00+00:00,USDJPY,LOSS,-1.0,,,,,,,,
2024-04-09 10:15:00+00:00,AUDUSD,LOSS,-1.0,2024-04-09 12:45:00+00:00,0.6623,0.66325,104.187,104.037,104.15,103.924,loss
2024-04-09 10:15:00+00:00,NZDUSD,LOSS,-1.0,2024-04-09 12:45:00+00:00,0.6054,0.6066,104.187,104.037,104.15,103.924,loss
2024-04-09 10:15:00+00:00,USDJPY,LOSS,-0.434,2024-04-09 12:45:00+00:00,151.818,151.769,104.187,104.037,104.15,103.924,loss
2024-04-19 09:30:00+00:00,AUDUSD,WIN,1.094,2024-04-19 10:00:00+00:00,0.6421,0.6414,106.121,106.018,106.082,105.954,win
2024-04-19 09:30:00+00:00,NZDUSD,WIN,1.094,2024-04-19 10:00:00+00:00,0.5895,0.5888,106.121,106.018,106.082,105.954,win
2024-04-19 09:30:00+00:00,USDJPY,WIN,1.266,2024-04-19 10:00:00+00:00,154.455,154.536,106.121,106.018,106.082,105.954,win
2024-05-06 09:15:00+00:00,AUDUSD,LOSS,-1.0,,,,,,,,
2024-05-06 09:15:00+00:00,NZDUSD,LOSS,-1.0,,,,,,,,
2024-05-06 09:15:00+00:00,USDJPY,LOSS,-1.0,,,,,,,,
2024-05-17 07:15:00+00:00,AUDUSD,LOSS,-1.0,,,,,,,,
2024-05-17 07:15:00+00:00,NZDUSD,LOSS,-1.0,,,,,,,,
2024-05-17 07:15:00+00:00,USDJPY,LOSS,-1.0,,,,,,,,
2024-05-29 07:15:00+00:00,AUDUSD,WIN,24.999,,,,,,,,
2024-05-29 07:15:00+00:00,NZDUSD,LOSS,-1.0,,,,,,,,
2024-05-29 07:15:00+00:00,USDJPY,LOSS,-1.0,,,,,,,,
2024-07-04 11:00:00+00:00,AUDUSD,LOSS,-0.469,,,,,,,,
2024-07-04 11:00:00+00:00,NZDUSD,WIN,0.156,,,,,,,,
2024-07-04 11:00:00+00:00,USDJPY,WIN,0.99,,,,,,,,
2024-07-08 10:15:00+00:00,AUDUSD,WIN,0.952,2024-07-08 10:30:00+00:00,0.6742,0.6738,105.029,104.907,104.949,104.865,win
2024-07-08 10:15:00+00:00,NZDUSD,WIN,1.19,2024-07-08 10:30:00+00:00,0.6137,0.6132,105.029,104.907,104.949,104.865,win
2024-07-08 10:15:00+00:00,USDJPY,WIN,0.833,2024-07-08 10:30:00+00:00,160.946,160.981,105.029,104.907,104.949,104.865,win
