gap,approach,reward,near_tp,n_sigs,net_r,wr,pf,net_eurusd,net_usdjpy,net_usdcad,net_xauusd
50,50,50,True,100,-7.1,50.5,0.967,5.02,-13.67,-4.66,6.2
50,50,50,False,95,-21.96,51.2,0.885,2.16,-8.74,-13.87,-1.53
50,50,75,True,100,-7.1,50.5,0.967,5.02,-13.67,-4.66,6.2
50,50,75,False,95,-21.96,51.2,0.885,2.16,-8.74,-13.87,-1.53
50,50,100,True,100,-7.1,50.5,0.967,5.02,-13.67,-4.66,6.2
50,50,100,False,95,-21.96,51.2,0.885,2.16,-8.74,-13.87,-1.53
50,50,125,True,100,-7.1,50.5,0.967,5.02,-13.67,-4.66,6.2
50,50,125,False,95,-21.96,51.2,0.885,2.16,-8.74,-13.87,-1.53
50,50,150,True,100,-7.1,50.5,0.967,5.02,-13.67,-4.66,6.2
50,50,150,False,95,-21.96,51.2,0.885,2.16,-8.74,-13.87,-1.53
50,50,175,True,100,-7.1,50.5,0.967,5.02,-13.67,-4.66,6.2
50,50,175,False,95,-21.96,51.2,0.885,2.16,-8.74,-13.87,-1.53
50,50,200,True,100,-7.1,50.5,0.967,5.02,-13.67,-4.66,6.2
50,50,200,False,95,-21.96,51.2,0.885,2.16,-8.74,-13.87,-1.53
50,75,50,True,99,-7.08,50.2,0.965,1.3,-4.6,-3.98,0.2
50,75,50,False,94,-21.94,51.2,0.882,0.3,-4.25,-13.35,-4.64
50,75,75,True,99,-7.08,50.2,0.965,1.3,-4.6,-3.98,0.2
50,75,75,False,94,-21.94,51.2,0.882,0.3,-4.25,-13.35,-4.64
50,75,100,True,99,-7.08,50.2,0.965,1.3,-4.6,-3.98,0.2
50,75,100,False,94,-21.94,51.2,0.882,0.3,-4.25,-13.35,-4.64
50,75,125,True,99,-7.08,50.2,0.965,1.3,-4.6,-3.98,0.2
50,75,125,False,94,-21.94,51.2,0.882,0.3,-4.25,-13.35,-4.64
50,75,150,True,99,-7.08,50.2,0.965,1.3,-4.6,-3.98,0.2
50,75,150,False,94,-21.94,51.2,0.882,0.3,-4.25,-13.35,-4.64
50,75,175,True,99,-7.08,50.2,0.965,1.3,-4.6,-3.98,0.2
50,75,175,False,94,-21.94,51.2,0.882,0.3,-4.25,-13.35,-4.64
50,75,200,True,99,-7.08,50.2,0.965,1.3,-4.6,-3.98,0.2
